OBJECTID_12,OBJECTID_1,OBJECTID,GIS_STREET,ON_STREET,FROM_STREE,TO_STREET,ST_CODE,SEG_ID,ONEWAY,CLASS,RESPONSIBL,L_HUNDRED,R_HUNDRED,BLOCKNUMBE,PRIMARYROA
228,,21433,,NOBLE ST,N 10TH ST,N 11TH ST,59940,441434,B,5, ,1000,,140.01,Granite Block
229,,21443,,NOBLE ST,N 10TH ST,N 11TH ST,59940,441435,B,5, ,1000,,140.02,Granite Block
230,,21458,,HAMILTON ST,N 10TH ST,RIDGE AVE,40180,440346,B,5, ,1000,,92,Granite Block
231,,21565,,QUARRY ST,N 02ND ST,N 03RD ST,66440,440920,B,5, ,200,,158.02,Granite Block
232,,21567,,QUARRY ST,N FRONT ST,N 02ND ST,66440,441422,B,5, ,100,,157,Granite Block
233,,21576,,QUARRY ST,N 02ND ST,N 03RD ST,66440,440912,FT,5, ,200,,158.01,Granite Block
234,,21577,,BREAD ST,ARCH ST,RACE ST,18720,440922,B,5, ,100,,24.02,Granite Block
235,,21583,,S PHILIP ST,DELANCEY ST,SPRUCE ST,64520,342304,B,5, ,300,,154,Granite Block
236,,21584,,DOCK ST,S CHRIS COLUMBUS BLV,WALNUT ST,28780,441711,B,3,FAM,100,,65.03,Granite Block
237,,21585,,DOCK ST,S CHRIS COLUMBUS BLV,WALNUT ST,28780,441712,FT,3, ,200,,65.05,Granite Block
238,,21589,,DOCK ST,S CHRIS COLUMBUS BLV,WALNUT ST,28780,441526,FT,3, ,200,,65.04,Granite Block
239,,21591,,S AMERICAN ST,SPRUCE ST,DELANCEY ST,12460,342303,B,5, ,300,,8,Granite Block
240,,21593,,BREAD ST,ARCH ST,RACE ST,18720,440924,B,5, ,100,,24.01,Granite Block
241,,21597,,CHURCH ST,N 02ND ST,N 03RD ST,23140,440421,B,4, ,200,,47.01,Granite Block
242,,21598,,N AMERICAN ST,CHURCH ST,CUTHBERT ST,12440,440420,B,5, ,0,,7.01,Granite Block
243,,21599,,FILBERT ST,N 02ND ST,N 03RD ST,34000,440409,B,5, ,200,,76.03,Granite Block
244,,21600,,FILBERT ST,N 02ND ST,N 03RD ST,34000,440404,B,5, ,200,,76.01,Blue Glazed Brick
245,,21601,,N AMERICAN ST,CHURCH ST,CUTHBERT ST,12440,441187,B,5, ,0,,7.02,Granite Block
246,,21622,,SANSOM ST,S 07TH ST,S 08TH ST,70940,440497,FT,4, ,700,,176,Red Brick
247,,21624,,S INDEPENDENCE ML E,CHESTNUT ST,WALNUT ST,44829,441176,TF,3,STATE,100,,216,Granite Block
248,,21686,,BONAPARTE CT,S 09TH ST,S HUTCHINSON ST,18185,441078,B,5, ,900,,20,Granite Block
249,,21687,,S HUTCHINSON ST,LOCUST ST,SPRUCE ST,44200,440648,B,5, ,200,,101.01,Granite Block
250,,21690,,S HUTCHINSON ST,LOCUST ST,SPRUCE ST,44200,440592,B,5, ,200,,101.04,Granite Block
251,,21697,,QUINCE ST,WALNUT ST,SPRUCE ST,66560,440630,FT,5, ,200,,159.02,Granite Block
252,,21709,,CHANCELLOR ST,S 12TH ST,S 13TH ST,22300,440517,B,5, ,1200,,39.02,Granite Block
253,,21720,,ST JAMES ST,S 12TH ST,S 13TH ST,74100,440531,B,5, ,1200,,173.02,Granite Block
254,,21723,,ST JAMES ST,S 12TH ST,S 13TH ST,74100,440525,B,5, ,1200,,173.01,Granite Block
255,,21726,,S CAMAC ST,WALNUT ST,LOCUST ST,21000,440511,B,5, ,200,,30.03,Wood Block
256,,21727,,S CAMAC ST,WALNUT ST,LOCUST ST,21000,440524,B,5, ,200,,30.02,Wood Block
257,,21728,,CHANCELLOR ST,S 12TH ST,S 13TH ST,22300,440512,B,5, ,1200,,39.01,Granite Block
258,,21782,,TRENTON AVE,E NORRIS ST,FRANKFORD AVE,77800,542488,B,4, ,2000,,197.04,Granite Block
259,,21783,,TRENTON AVE,E NORRIS ST,FRANKFORD AVE,77800,542551,B,4, ,2000,,197.03,Granite Block
260,,22122,,WALLACE ST,N 04TH ST,N 05TH ST,81040,441393,B,5, ,400,,200,Granite Block
261,,22187,,SPRING ST,N CLARION ST,N JUNIPER ST,73740,440876,B,5, ,1300,,320,Granite Block
262,,22214,,BREAD ST,ARCH ST,RACE ST,18720,440936,FT,5, ,100,,24.03,Granite Block
263,,22229,,N HUTCHINSON ST,CUTHBERT ST,ARCH ST,44180,441750,B,5, ,0,,100,Granite Block
264,,22232,,CUTHBERT ST,N 09TH ST,N 10TH ST,26520,441453,B,5, ,900,,55.01,Granite Block
265,,22281,,ELBOW LA,BANK ST,S 03RD ST,30960,441700,B,5, ,200,,68.01,Granite Block
266,,22282,,ELBOW LA,BANK ST,S 03RD ST,30960,441699,B,5, ,200,,68.02,Granite Block
267,,22289,,IONIC ST,S FRONT ST,S 02ND ST,45000,440528,B,5, ,100,,84,Granite Block
268,,22290,,CHESTNUT ST,S FRONT ST,S 02ND ST,22820,440506,TF,3,STATE,100,,45.01,Granite Block
269,,22291,,CHESTNUT ST,S FRONT ST,S 02ND ST,22820,440510,TF,3,STATE,100,,45.02,Granite Block
270,,22299,,THOMAS PAINE PL,DOCK ST,S 03RD ST,77135,441527,TF,5, ,200,,38,Granite Block
271,,22324,,S CAMAC ST,WALNUT ST,LOCUST ST,21000,440540,B,5, ,200,,30.01,Wood Block
272,,22346,,S WARNOCK ST,IRVING ST,SPRUCE ST,81460,440641,B,5, ,200,,201,Red Brick
273,,22352,,MANNING ST,S HUTCHINSON ST,S 10TH ST,53180,440628,B,5, ,900,,120,Granite Block
274,,22353,,S HUTCHINSON ST,LOCUST ST,SPRUCE ST,44200,441076,B,5, ,200,,101.02,Granite Block
275,,22354,,S HUTCHINSON ST,LOCUST ST,SPRUCE ST,44200,440615,B,5, ,200,,101.03,Granite Block
276,,22386,,S RANDOLPH ST,ST JAMES CT,DEAD END SOUTH,67380,440617,B,5, ,200,,160,Granite Block
277,,22402,,MATTIS ST,DOCK ST,SPRUCE ST,88555,441466,FT,5,FAM,200,,125,Granite Block
278,,22405,,S 02ND ST,SPRUCE ST,PINE ST,87840,441506,FT,3,FAM,300,,213.02,Granite Block
279,,22408,,SPRUCE ST,S CHRIS COLUMBUS BLV,MATTIS ST,73960,441768,TF,3,FAM,0,,186.02,Granite Block
280,,22409,,SPRUCE ST,S CHRIS COLUMBUS BLV,MATTIS ST,73960,441418,B,3,FAM,100,,186.01,Granite Block
281,,22411,,DOCK ST,S CHRIS COLUMBUS BLV,WALNUT ST,28780,441079,B,3,FAM,0,,65.01,Granite Block
282,,22418,,BLACK HORSE ALY,S FRONT ST,S 02ND ST,17760,440463,B,5, ,100,,15.01,Granite Block
283,,22419,,BLACK HORSE ALY,S FRONT ST,S 02ND ST,17760,440470,B,5, ,100,,15.02,Granite Block
284,,22427,,CHURCH ST,N FRONT ST,N 02ND ST,23140,440428,TF,4, ,100,,46,Granite Block
285,,22428,,CUTHBERT ST,N FRONT ST,N 02ND ST,26520,440400,B,5, ,100,,54.02,Granite Block
286,,22429,,CUTHBERT ST,N FRONT ST,N 02ND ST,26520,441576,TF,5, ,100,,54.01,Granite Block
287,,22430,,MASCHER ST,CUTHBERT ST,ARCH ST,54200,440399,B,5, ,0,,124,Blue Glazed Brick
288,,22439,,N FRONT ST,VINE ST,SPRING GARDEN ST,35200,441092,FT,5, ,300,,78.01,Granite Block
289,,22446,,NEW ST,N 03RD ST,N 04TH ST,59450,440919,B,5, ,300,,136,Granite Block
290,,22449,,WOOD ST,N 02ND ST,N 05TH ST,84320,440891,TF,5, ,200,,210.07,Granite Block
291,,22465,,N FRONT ST,VINE ST,SPRING GARDEN ST,35200,440700,B,5,FAM,500,,78.04,Granite Block
292,,22467,,N FRONT ST,ELLEN ST,GREEN ST,35200,440697,B,4,FAM,600,,79.01,Granite Block
293,,22493,,N ORIANNA ST,CHERRY ST,RACE ST,61580,440921,B,5, ,100,,142,Granite Block
294,,22518,,N HUTCHINSON ST,CHERRY ST,RACE ST,44180,441748,TF,5, ,100,,312,Granite Block
295,,22536,,S BODINE ST,MARKET ST,ELBOW LA,18120,441701,B,12,PRIVATE,0,,18,Blue Glazed Brick
296,,22545,,FILBERT ST,N 02ND ST,N 03RD ST,34000,440405,B,5, ,200,,76.02,Granite Block
297,,25902,,HEDGE ST,BRIDGE ST,BRILL ST,41540,761314,TF,5, ,5300,,95,Red Brick
298,,26700,,GERMANTOWN AVE,W ERIE AVE,W HUNTING PARK AVE,36660,620358,B,3,STATE,3800,,86.03,Granite Block
299,,26701,,GERMANTOWN AVE,W ERIE AVE,W HUNTING PARK AVE,36660,620363,B,3,STATE,3900,,86.04,Granite Block
300,,26702,,GERMANTOWN AVE,W ERIE AVE,W HUNTING PARK AVE,36660,620364,B,3,STATE,3900,,86.05,Granite Block
301,,26761,,WRIGHT ST,UMBRIA ST,SMICK ST,84760,600493,B,5, ,100,,211,Granite Block
302,,26762,,SMICK ST,HERMITAGE ST,FOUNTAIN ST,73120,600031,B,5, ,4700,,184.02,Granite Block
303,,26763,,SMICK ST,HERMITAGE ST,FOUNTAIN ST,73120,600032,B,5, ,0,,184.01,Granite Block
304,,26765,,SMICK ST,HERMITAGE ST,FOUNTAIN ST,73120,600030,B,5, ,4700,,184.03,Granite Block
305,,26822,,CRESSON ST,LEVERING ST,GREEN LA,25840,600316,B,4, ,4400,,52.08,Granite Block
306,,26823,,CARSON ST,CRESSON ST,BAKER ST,21640,600359,B,5, ,100,,36,Granite Block
307,,26825,,CRESSON ST,LEVERING ST,GREEN LA,25840,600318,B,4, ,4400,,52.06,Granite Block
308,,26827,,CRESSON ST,LEVERING ST,GREEN LA,25840,600317,B,4, ,4400,,52.07,Granite Block
309,,26833,,STATION ST,LEVERING ST,GAY ST,74500,600603,B,5, ,4400,,191,Red Brick
310,,26834,,CRESSON ST,LEVERING ST,GREEN LA,25840,600319,B,4, ,4400,,52.05,Granite Block
311,,26835,,CRESSON ST,LEVERING ST,GREEN LA,25840,600506,B,4, ,4300,,52.04,Granite Block
312,,26862,,GATES ST,UMBRIA ST,DEAD END WEST,36380,600297,B,5, ,100,,82,Red Brick
313,,26923,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,621251,B,3,STATE,4600,,87.04,Granite Block
314,,26925,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620689,B,3,STATE,4500,,87.02,Granite Block
315,,26927,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620688,B,3,STATE,4600,,87.03,Granite Block
316,,26930,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620687,B,3,STATE,4700,,87.05,Granite Block
317,,26939,,W SYLVANIA ST,GREENE ST,WAYNE AVE,75980,620741,B,5, ,100,,193,Yellow Brick
318,,26941,,W ABBOTTSFORD AVE,GREENE ST,WAYNE AVE,11080,620740,B,4, ,100,,1,Red Brick
319,,26972,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620686,B,3,STATE,4800,,87.06,Granite Block
320,,27057,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620690,B,3,STATE,4400,,87.01,Granite Block
321,,27277,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620682,B,3,STATE,5000,,87.13,Granite Block
322,,27278,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,720546,B,3,STATE,5100,,87.14,Granite Block
323,,27279,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,720550,B,3,STATE,5100,,87.16,Granite Block
324,,27280,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,720549,B,3,STATE,5100,,87.15,Granite Block
325,,27283,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620684,B,3,STATE,5000,,87.11,Granite Block
326,,27284,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620685,B,3,STATE,4900,,87.1,Granite Block
327,,27285,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620683,B,3,STATE,5000,,87.12,Granite Block
328,,27355,,LAURENS ST,HANSBERRY ST,W QUEEN LA,49400,620940,B,5, ,5200,,107.01,Yellow Brick
329,,27358,,LAURENS ST,HANSBERRY ST,W QUEEN LA,49400,620938,B,5, ,5200,,107.02,Yellow Brick
330,,27359,,LAURENS ST,W QUEEN LA,W COULTER ST,49400,620936,B,5, ,5300,,108,Yellow Brick
331,,27366,,MC KEAN AVE,HANSBERRY ST,W QUEEN LA,54780,620933,B,5, ,5200,,126.02,Red Brick
332,,27367,,W BRINGHURST ST,MC KEAN AVE,LAURENS ST,19020,620937,B,5, ,400,,26,Red Brick
333,,27370,,MC KEAN AVE,HANSBERRY ST,W QUEEN LA,54780,620934,B,5, ,5200,,126.01,Red Brick
334,,27373,,ZERALDA ST,PULASKI AVE,APSLEY ST,86320,620812,TF,5, ,300,,212,Red Brick
335,,27452,,W STAFFORD ST,MORRIS ST,WISSAHICKON AVE,74260,620904,FT,5, ,400,,187,Red Brick
336,,27465,,WINONA ST,PULASKI AVE,MORRIS ST,83860,620942,B,5, ,300,,207,Yellow Brick
337,,27716,,SHELDON ST,HERMITAGE ST,FOUNTAIN ST,72470,600095,FT,5, ,4700,,318,Red Brick
338,,27774,,MAIDEN ST,MANSION ST,SILVERWOOD ST,52980,600599,B,5, ,100,,118,Red Brick
339,,27775,,MANSION ST,LEVERING ST,GAY ST,53240,600602,B,5, ,4400,,121.01,Red Brick
340,,27776,,MANSION ST,LEVERING ST,GAY ST,53240,600600,B,5, ,4400,,121.02,Red Brick
341,,27778,,CRESSON ST,ROXBOROUGH AVE,LEVERING ST,25840,600507,B,4, ,4300,,52.03,Granite Block
342,,27784,,CRESSON ST,ROXBOROUGH AVE,LEVERING ST,25840,600504,B,4, ,4300,,52.01,Granite Block
343,,27786,,CRESSON ST,ROXBOROUGH AVE,LEVERING ST,25840,600553,B,4, ,4300,,52.02,Granite Block
344,,27788,,STATION ST,ROXBOROUGH AVE,COTTON ST,74500,600315,TF,5, ,4300,,190,Granite Block
345,,27793,,RECTOR ST,MAIN ST,STATION ST,67620,600571,TF,5, ,100,,162,Granite Block
346,,27794,,STATION ST,PENSDALE ST,RECTOR ST,74500,600382,FT,5, ,4200,,189,Granite Block
347,,27831,,LOFTY ST,BOONE ST,TERRACE ST,51420,600334,TF,5, ,200,,116,Red Brick (Molded)
348,,27917,,GERMANTOWN AVE,E BRINGHURST ST,CHURCH LN,36660,720544,B,3,STATE,5200,,88.01,Granite Block
349,,27918,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,720545,B,3,STATE,5100,,87.17,Granite Block
350,,27919,,GERMANTOWN AVE,E BRINGHURST ST,CHURCH LN,36660,720044,B,3,STATE,5300,,88.02,Granite Block
351,,27948,,SKIDOO ST,STANTON ST,CALUMET ST,73035,621506,TF,5, ,3400,,183,Granite Block
352,,27950,,W COULTER ST,WARDEN DR,VAUX ST,25340,621123,B,4, ,3400,,50,Red Brick
353,,27981,,DUPONT ST,FLEMING ST,PECHIN ST,29580,600158,B,5, ,300,,66,Orange Brick
354,,27982,,PECHIN ST,GREEN LA,LEVERINGTON AVE,63620,600543,TF,4, ,4500,,152,Red Brick (Molded)
355,,28010,,MANAYUNK AVE,FOUNTAIN ST,GATES ST,53120,600073,B,5, ,4700,,119.02,Red Brick (Molded)
356,,28019,,SILVERWOOD ST,FOUNTAIN ST,DELMAR ST,72880,600086,B,5, ,4800,,182,Red Brick (Molded)
357,,28071,,GATES ST,SILVERWOOD ST,PECHIN ST,36380,600077,B,5, ,300,,83,Yellow Brick
358,,28108,,SMICK ST,FOUNTAIN ST,DEAD END NORTH,73120,600586,B,5, ,4800,,185,Red Brick
359,,28209,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,620691,B,3,STATE,4800,,87.07,Granite Block
360,,28211,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,621301,B,3,STATE,4900,,87.09,Granite Block
361,,28221,,GERMANTOWN AVE,E BRINGHURST ST,CHURCH LN,36660,720548,B,3,STATE,5300,,88.03,Granite Block
362,,28222,,GERMANTOWN AVE,E BRINGHURST ST,CHURCH LN,36660,720529,B,3,STATE,5300,,88.04,Granite Block
363,,28247,,GERMANTOWN AVE,W ERIE AVE,W HUNTING PARK AVE,36660,620354,B,3,STATE,3900,,86.06,Granite Block
364,,28249,,GERMANTOWN AVE,W ERIE AVE,W HUNTING PARK AVE,36660,620349,B,3,STATE,4000,,86.07,Granite Block
365,,28302,,GERMANTOWN AVE,WINDRIM AVE,E BRINGHURST ST,36660,621780,B,3,STATE,4900,,87.08,Granite Block
366,,29339,,ALLENGROVE ST,HORROCKS ST,OAKLAND ST,12120,760032,FT,5, ,1200,,5,Red Brick
367,,30127,,OLD YORK RD,WINDRIM AVE,W DUNCANNON AVE,61300,740072,B,4, ,5100,,141.02,Granite Block
368,,30135,,N MARVINE ST,WAGNER AVE,W SOMERVILLE AVE,54140,741186,TF,5, ,5300,,123,Red Brick
369,,30145,,OLD YORK RD,WINDRIM AVE,W DUNCANNON AVE,61300,741213,B,4, ,5000,,141.01,Granite Block
370,,30146,,OLD YORK RD,WINDRIM AVE,W DUNCANNON AVE,61300,741209,B,4, ,5100,,141.03,Granite Block
371,,30157,,N CAMAC ST,W FISHER AVE,W SOMERVILLE AVE,20980,741245,FT,5, ,5300,,28,Red Brick
372,,30906,,S 40TH ST,MARKET ST,SPRUCE ST,88590,420960,FT,4,FAM,100,,219.04,Granite Block
373,,30908,,S 40TH ST,MARKET ST,SPRUCE ST,88590,420992,FT,4,FAM,200,,219.03,Granite Block
374,,30938,,S 40TH ST,MARKET ST,SPRUCE ST,88590,420884,FT,4,FAM,0,,219.07,Granite Block
375,,32997,,S 40TH ST,MARKET ST,SPRUCE ST,88590,420916,FT,4,FAM,0,,219.06,Granite Block
376,,32998,,S 40TH ST,MARKET ST,SPRUCE ST,88590,420942,FT,4,FAM,100,,219.05,Granite Block
377,,33348,,GERMANTOWN AVE,W ERIE AVE,W HUNTING PARK AVE,36660,620359,B,3,STATE,3800,,86.02,Granite Block
378,,33352,,GERMANTOWN AVE,W ERIE AVE,W HUNTING PARK AVE,36660,641238,B,3,STATE,3700,,86.01,Granite Block
379,,33413,,E ERIE AVE,D ST,KENSINGTON AVE,31980,641460,B,3,STATE,500,,70.01,Red Brick
380,,33445,,SAINT MARKS ST,BALTIMORE AVE,CITY BOUNDARY,74160,322871,B,5, ,500,,316,Granite Block
381,,33835,,N 05TH ST,VINE ST,CALLOWHILL ST,87890,441917,FT,3,DRPA,0,,215.01,Granite Block (White)
382,,33842,,N 05TH ST,VINE ST,CALLOWHILL ST,87890,441918,TF,3,DRPA,0,,215.02,Granite Block (White)
383,,33844,,WOOD ST,N 02ND ST,N 05TH ST,84320,440887,TF,5, ,400,,210.01,Granite Block
384,,33849,,N MARGINAL RD,N 04TH ST,N 05TH ST,53470,440354,TF,5,DRPA,400,,122.02,Granite Block
385,,33850,,N MARGINAL RD,N 04TH ST,N 05TH ST,53470,441499,TF,5,DRPA,400,,122.01,Granite Block
386,,33864,,LEHMAN LA,W PRICE ST,WISSAHICKON AVE,50020,621732,B,5,PRIVATE,0,,110,Orange Brick
387,,33898,,STAMPERS ST,S 02ND ST,S 03RD ST,74300,342195,B,5, ,200,,188.001,Granite Block
388,,33899,,STAMPERS ST,S 02ND ST,S 03RD ST,74300,342402,B,5, ,200,,188.002,Granite Block
389,,33933,,ST JAMES ST,05TH ST,06TH ST,74100,440578,TF,5, ,500,,172.01,Granite Block
390,,33934,,ST JAMES ST,05TH ST,06TH ST,74100,440582,TF,5, ,500,,172.022,Granite Block
391,,33935,,ST JAMES ST,05TH ST,06TH ST,74100,441927,TF,5, ,500,,172.021,Granite Block
392,,33971,,ADDISON ST,S 05TH ST,S 06TH ST,11320,342409,B,5, ,500,,2.01,Granite Block
393,,33972,,ADDISON ST,S 05TH ST,S 06TH ST,11325,342408,B,5, ,500,,2.02,Granite Block
394,,33973,,FLORIST ST,N 04TH ST,N 05TH ST,34540,441934,B,12,DRPA,400,,77,Granite Block
395,,33981,,ADDISON ST,S VAN PELT ST,S 22ND ST,11320,323419,B,12,PRIVATE,2100,,4,Granite Block
396,,34005,,WOOD ST,N 02ND ST,N 05TH ST,84320,440901,TF,5, ,400,,210.02,Granite Block
397,,34060,,N BODINE ST,VINE ST,CALLOWHILL ST,18100,441946,B,12,PRIVATE,300,,16,Granite Block
398,,34062,,WOOD ST,N 02ND ST,N 05TH ST,84320,441950,TF,5, ,200,,210.06,Granite Block
399,,34064,,WOOD ST,N 02ND ST,N 05TH ST,84320,441949,TF,5, ,200,,210.05,Granite Block
400,,34124,,DELANCEY ST,S 03RD ST,S 04TH ST,27980,342426,FT,5, ,300,,63.02,Granite Block
401,,34125,,DELANCEY ST,S 03RD ST,S 04TH ST,27980,342427,FT,5, ,300,,63.01,Granite Block
402,,34173,,S CAMAC ST,LUDLOW ST,CLOVER ST,21000,441970,B,5, ,0,,29,Granite Block
403,,34417,,CANTON ST,LEVERINGTON AVE,WRIGHT ST,21180,600523,B,5, ,4600,,32,Granite Block
404,,34440,,N JESSUP ST,W STILES ST,W THOMPSON ST,46120,442008,B,5, ,1200,,313,Granite Block
405,,34884,,S LEITHGOW ST,LOCUST ST,DEAD END NORTH,50120,441650,B,5, ,0,,112,Red Brick
406,,35054,,CHANG ST,POPLAR ST,CITY BOUNDARY,22340,420156,B,5, ,900,,305,Red Brick
407,,35159,,S WATER ST,CHRISTIAN ST,WASHINGTON AVE,81700,342492,B,5, ,900,,204,Granite Block
408,,35302,,S 40TH ST,MARKET ST,SPRUCE ST,88590,423220,FT,4,FAM,200,,219.02,Granite Block
409,,35303,,S 40TH ST,MARKET ST,SPRUCE ST,88590,423221,FT,4,FAM,200,,219.01,Granite Block
410,,35388,,S 49TH ST,GRAYS AVE,BOTANIC AVE,88770,323480,B,5, ,1600,,221.02,Granite Block
411,,35391,,S 49TH ST,GRAYS AVE,BOTANIC AVE,88770,323482,B,5, ,1700,,221.01,Granite Block
412,,35446,,S BONSALL ST,IONIC ST,WALNUT ST,18280,423238,B,5, ,100,,21,Blue Glazed Brick
413,,35852,,HERMITAGE ST,UMBRIA ST,SMICK ST,42180,600033,B,5, ,100,,96,Granite Block
414,,36002,,PANAMA ST,S 18TH ST,S 19TH ST,62880,320711,B,5, ,1800,,148,Granite Block
415,,36062,,E WENSLEY ST,RICHMOND ST,CITY BOUNDARY,82340,543708,B,5, ,2800,,321,Granite Block
416,,36108,,S REESE ST,LOMBARD ST,SOUTH ST,67840,340312,B,5, ,500,,165.01,Granite Block
417,,36109,,S REESE ST,LOMBARD ST,SOUTH ST,67840,342146,B,5, ,500,,165.02,Granite Block
418,,36147,,MONTGOMERY AVE,N 29TH ST,W SEDGLEY AVE,56760,521372,B,4, ,2900,,131.02,Red Brick
419,,36214,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800134,B,3,STATE,8400,,90.18,Granite Block
420,,36216,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800121,B,3,STATE,8600,,90.2,Granite Block
421,,36218,,GERMANTOWN AVE,ALLENS LANE,REX AVE,36660,800128,B,3,STATE,8500,,90.19,Granite Block
422,,36313,,DOCK ST,S CHRIS COLUMBUS BLV,WALNUT ST,28780,440653,B,3,FAM,0,,65.02,Granite Block
423,,36376,,RENO ST,N 05TH ST,LAWRENCE ST,68000,440274,B,5, ,400,,167.02,Granite Block
424,,36378,,RENO ST,N 05TH ST,LAWRENCE ST,68000,440272,B,5, ,400,,167.01,Granite Block
425,,36383,,MYRTLE ST,N LAWRENCE ST,N 05TH ST,57700,441020,B,5, ,400,,134.01,Blue Glazed Brick
426,,36384,,N ORKNEY ST,MYRTLE ST,DEAD END SOUTH,61660,441261,B,5, ,800,,145.02,Granite Block
427,,36385,,MYRTLE ST,N LAWRENCE ST,N 05TH ST,57700,441021,B,5, ,400,,134.02,Granite Block
428,,36387,,N ORKNEY ST,MYRTLE ST,DEAD END SOUTH,61660,441263,B,5, ,800,,145.01,Granite Block
429,,36388,,RENO ST,LAWRENCE ST,LEITHGOW ST,68000,440276,B,5, ,400,,167.03,Granite Block
430,,36389,,N LEITHGOW ST,PARRISH ST,DEAD END SOUTH,50100,441396,B,5, ,800,,111.01,Granite Block
431,,36395,,LAWRENCE CT,CYPRESS ST,PINE ST,49655,342420,FT,5, ,300,,109.01,Granite Block
432,,36396,,LAWRENCE CT,CYPRESS ST,PINE ST,49655,342421,FT,5, ,300,,109.02,Granite Block
433,,36421,,WILLINGS ALY,S 03RD ST,S 04TH ST,83380,442119,B,5, ,300,,206.002,Granite Block
434,,36422,,WILLINGS ALY,S 03RD ST,S 04TH ST,83380,442120,B,5, ,300,,206.001,Granite Block
435,,36619,,SHAMOKIN ST,RIDGE AVE,N 11TH ST,72140,442132,FT,12, ,1000,,317,Red Brick
436,,36655,,HERMITAGE ST,SMICK ST,SILVERWOOD ST,42180,600687,B,5, ,200,,97.02,Granite Block
437,,36656,,HERMITAGE ST,SMICK ST,SILVERWOOD ST,42180,600686,B,5, ,200,,97.01,Granite Block
438,,36853,,NAUDAIN ST,S FRONT ST,OLD SECOND ST,59060,342552,B,5, ,100,,135.002,Granite Block
439,,36854,,NAUDAIN ST,S FRONT ST,OLD SECOND ST,59060,342553,B,5, ,100,,135.001,Granite Block
440,,37014,,S 02ND ST,PINE ST,LOMBARD ST,87840,340259,FT,3,FAM,0,,214.02,Granite Block
441,,37018,,S 02ND ST,PINE ST,LOMBARD ST,87840,342194,TF,3,FAM,400,,214.03,Granite Block
442,,37020,,S 02ND ST,PINE ST,LOMBARD ST,87840,340260,FT,3,FAM,0,,214.01,Granite Block
443,,37060,,N FRONT ST,ELLEN ST,GREEN ST,35200,441025,B,4,FAM,700,,79.02,Granite Block
444,,37061,,N FRONT ST,ELLEN ST,GREEN ST,35200,441024,B,4,FAM,700,,79.03,Granite Block
445,,37064,,SALTER ST,S 02ND ST,MASCHER ST,70800,342413,B,5,PRIVATE,100,,175,Granite Block
446,,37133,,QUINCE ST,WALNUT ST,SPRUCE ST,66560,440567,FT,5, ,200,,159.04,Granite Block
447,,37135,,S JESSUP ST,LOCUST ST,DEAD END SOUTH,46140,440568,B,5, ,200,,104.03,Red Brick
448,,37158,,RODMAN ST,S 15TH ST,DEAD END EAST OF LAWRENCE,69080,323417,B,5, ,1400,,169,Granite Block
449,,37231,,RECTOR ST,MAIN ST,DEAD END WEST,67620,600386,B,5, ,0,,161,Granite Block
450,,37234,,PORT ROYAL AVE,NIXON ST,EVA ST,65340,700591,B,5, ,100,,156,Granite Block
451,,37241,,S CLIFTON ST,BAINBRIDGE ST,CATHARINE ST,23860,342056,B,5,PRIVATE,700,,48.03,Granite Block
452,,37635,,S FAIRHILL ST,BAINBRIDGE ST,FITZWATER ST,33260,342563,B,5, ,700,,74.01,Granite Block
453,,37830,,MINTZER ST,CITY BOUNDARY,BROWN ST,56420,441408,B,5, ,700,,314,Granite Block
454,,37831,,BREAD ST,NEW ST,DEAD END SOUTH,18720,441186,B,5, ,200,,25,Blue Glazed Brick
455,,37858,,S AMERICAN ST,CARPENTER ST,WASHINGTON AVE,12460,342054,B,5,PRIVATE,1000,,10,Orange Brick
456,,37890,,S HOLLY ST,CHESTER AVE,DEAD END NORTH,43160,322819,B,5, ,500,,99,Red Brick
457,,37893,,RING ST,MAIN ST,DEAD END NORTH,68420,600669,B,5, ,100,,168,Granite Block
458,,37920,,PEARL ST,CITY BOUNDARY,N 15TH ST,63560,422198,B,5, ,1400,,315,Granite Block
